"x","y","pos","order"
3464.00561523438,2097.54150390625,"3464.00561523438_2097.54150390625",31978
3605.42822265625,2097.51245117188,"3605.42822265625_2097.51245117188",8847
3702.39721679688,2100.4365234375,"3702.39721679688_2100.4365234375",23004
3776.42895507812,2076.76318359375,"3776.42895507812_2076.76318359375",13926
3865.91870117188,2124.61791992188,"3865.91870117188_2124.61791992188",18288
3947.60668945312,2133.09985351562,"3947.60668945312_2133.09985351562",18730
4016.36840820312,2150.98999023438,"4016.36840820312_2150.98999023438",17458
4130.49853515625,2179.43774414062,"4130.49853515625_2179.43774414062",7611
4195.96142578125,2214.7177734375,"4195.96142578125_2214.7177734375",4860
4313.3095703125,2247.56127929688,"4313.3095703125_2247.56127929688",3113
4364.22509765625,2275.875,"4364.22509765625_2275.875",13640
4451.10400390625,2305.39038085938,"4451.10400390625_2305.39038085938",10415
4525.05810546875,2352.33471679688,"4525.05810546875_2352.33471679688",25399
4566.43798828125,2363.84814453125,"4566.43798828125_2363.84814453125",25434
4622.66552734375,2431.95043945312,"4622.66552734375_2431.95043945312",3069
4724.63525390625,2471.57177734375,"4724.63525390625_2471.57177734375",21597
4791.9765625,2518.16064453125,"4791.9765625_2518.16064453125",22703
4858.83642578125,2614.29541015625,"4858.83642578125_2614.29541015625",4375
4960.08544921875,2667.478515625,"4960.08544921875_2667.478515625",50
4998.28662109375,2718.0322265625,"4998.28662109375_2718.0322265625",8922
5082.6044921875,2837.1611328125,"5082.6044921875_2837.1611328125",25907
5112.3759765625,2917.3857421875,"5112.3759765625_2917.3857421875",12743
5148.02001953125,3013.94677734375,"5148.02001953125_3013.94677734375",924
5188.95361328125,3064.01245117188,"5188.95361328125_3064.01245117188",32259
5211.828125,3157.65771484375,"5211.828125_3157.65771484375",8926
5272.3173828125,3289.55712890625,"5272.3173828125_3289.55712890625",6851
5298.58447265625,3433.13671875,"5298.58447265625_3433.13671875",5498
5313.9228515625,3484.13647460938,"5313.9228515625_3484.13647460938",13127
5323.421875,3585.470703125,"5323.421875_3585.470703125",22340
5342.5498046875,3730.9453125,"5342.5498046875_3730.9453125",2290
5311.24072265625,3822.76440429688,"5311.24072265625_3822.76440429688",10720
5339.3740234375,4047.36279296875,"5339.3740234375_4047.36279296875",22481
5272.8798828125,4173.91259765625,"5272.8798828125_4173.91259765625",2807
5207.298828125,4291.9375,"5207.298828125_4291.9375",17810
5155.17431640625,4439.02490234375,"5155.17431640625_4439.02490234375",9107
5056.5693359375,4601.712890625,"5056.5693359375_4601.712890625",13417
5013.67236328125,4755.74853515625,"5013.67236328125_4755.74853515625",33740
4928.1953125,4844.44677734375,"4928.1953125_4844.44677734375",375
4856.1943359375,4998.876953125,"4856.1943359375_4998.876953125",9919
4836.57080078125,5061.70849609375,"4836.57080078125_5061.70849609375",19390
4740.384765625,5176.4677734375,"4740.384765625_5176.4677734375",31645
4717.52294921875,5277.79150390625,"4717.52294921875_5277.79150390625",7913
4648.85107421875,5352.396484375,"4648.85107421875_5352.396484375",642
4586.11474609375,5425.73046875,"4586.11474609375_5425.73046875",11518
4547.138671875,5495.8896484375,"4547.138671875_5495.8896484375",35155
4461.30517578125,5577.80224609375,"4461.30517578125_5577.80224609375",5424
4396.05810546875,5675.845703125,"4396.05810546875_5675.845703125",7899
4355.05224609375,5717.39501953125,"4355.05224609375_5717.39501953125",4895
4286.7333984375,5812.46337890625,"4286.7333984375_5812.46337890625",32368
4201.09130859375,5916.25146484375,"4201.09130859375_5916.25146484375",28745
4050.07373046875,5972.1865234375,"4050.07373046875_5972.1865234375",28231
3980.39111328125,6036.19482421875,"3980.39111328125_6036.19482421875",32852
3930.3984375,6099.6708984375,"3930.3984375_6099.6708984375",799
3824.857421875,6126.49169921875,"3824.857421875_6126.49169921875",3972
3708.828125,6161.45654296875,"3708.828125_6161.45654296875",23244
3634.6083984375,6186.1943359375,"3634.6083984375_6186.1943359375",9978
3412.19262695312,6269.90380859375,"3412.19262695312_6269.90380859375",3545
3306.98095703125,6315.23193359375,"3306.98095703125_6315.23193359375",24890
3156.25390625,6340.17529296875,"3156.25390625_6340.17529296875",22792
3078.81323242188,6362.82177734375,"3078.81323242188_6362.82177734375",8593
2939.86743164062,6388.75927734375,"2939.86743164062_6388.75927734375",29327
2740.93188476562,6369.921875,"2740.93188476562_6369.921875",26311
2648.19946289062,6407.69677734375,"2648.19946289062_6407.69677734375",24156
2548.38598632812,6414.708984375,"2548.38598632812_6414.708984375",1985
2419.41748046875,6416.4677734375,"2419.41748046875_6416.4677734375",7196
2341.35473632812,6336.771484375,"2341.35473632812_6336.771484375",10395
2203.85815429688,6291.45703125,"2203.85815429688_6291.45703125",9202
2075.373046875,6194.51708984375,"2075.373046875_6194.51708984375",25056
1989.14392089844,6091.48193359375,"1989.14392089844_6091.48193359375",30522
1935.03869628906,6011.99365234375,"1935.03869628906_6011.99365234375",22585
1846.89086914062,5910.0400390625,"1846.89086914062_5910.0400390625",13723
1791.56176757812,5817.00830078125,"1791.56176757812_5817.00830078125",22997
1747.09240722656,5738.35498046875,"1747.09240722656_5738.35498046875",7449
1686.13696289062,5591.28125,"1686.13696289062_5591.28125",34586
1644.1162109375,5455.3359375,"1644.1162109375_5455.3359375",23368
1630.88452148438,5280.49365234375,"1630.88452148438_5280.49365234375",7933
1608.78552246094,5184.6337890625,"1608.78552246094_5184.6337890625",32284
1614.74084472656,5049.63330078125,"1614.74084472656_5049.63330078125",29416
1614.13525390625,4908.7275390625,"1614.13525390625_4908.7275390625",29557
1600.60998535156,4754.0498046875,"1600.60998535156_4754.0498046875",12137
1632.95300292969,4598.6259765625,"1632.95300292969_4598.6259765625",17944
1657.91442871094,4485.85693359375,"1657.91442871094_4485.85693359375",29876
1689.62133789062,4391.72998046875,"1689.62133789062_4391.72998046875",27637
1743.50756835938,4235.1767578125,"1743.50756835938_4235.1767578125",17074
1795.58642578125,4095.89111328125,"1795.58642578125_4095.89111328125",31089
1821.76293945312,3981.908203125,"1821.76293945312_3981.908203125",31686
1881.12866210938,3891.97045898438,"1881.12866210938_3891.97045898438",33616
1870.41906738281,3826.60791015625,"1870.41906738281_3826.60791015625",34354
1918.45581054688,3708.62719726562,"1918.45581054688_3708.62719726562",11095
1966.01867675781,3525.79272460938,"1966.01867675781_3525.79272460938",1300
2020.76049804688,3398.68383789062,"2020.76049804688_3398.68383789062",30909
2041.01062011719,3275.00854492188,"2041.01062011719_3275.00854492188",15451
2069.23681640625,3212.84497070312,"2069.23681640625_3212.84497070312",15416
2113.71752929688,3122.39477539062,"2113.71752929688_3122.39477539062",15217
2155.44140625,2998.57397460938,"2155.44140625_2998.57397460938",3914
2206.70092773438,2926.32446289062,"2206.70092773438_2926.32446289062",14107
2269.71118164062,2800.14819335938,"2269.71118164062_2800.14819335938",28010
2305.73120117188,2658.46069335938,"2305.73120117188_2658.46069335938",12693
2345.25268554688,2553.01611328125,"2345.25268554688_2553.01611328125",25476
2400.4716796875,2504.77905273438,"2400.4716796875_2504.77905273438",23164
2484.34521484375,2396.53637695312,"2484.34521484375_2396.53637695312",20771
2567.03979492188,2289.3359375,"2567.03979492188_2289.3359375",31339
2638.95874023438,2241.7109375,"2638.95874023438_2241.7109375",33164
2728.84155273438,2185.57299804688,"2728.84155273438_2185.57299804688",28812
2806.6630859375,2091.30444335938,"2806.6630859375_2091.30444335938",12593
2903.8525390625,2002.29870605469,"2903.8525390625_2002.29870605469",8250
3017.35375976562,1962.51354980469,"3017.35375976562_1962.51354980469",8976
3156.38403320312,1959.23034667969,"3156.38403320312_1959.23034667969",29544
3262.03784179688,1911.41760253906,"3262.03784179688_1911.41760253906",5945
3322.64868164062,1906.40625,"3322.64868164062_1906.40625",3005
3389.31420898438,1866.61560058594,"3389.31420898438_1866.61560058594",26257
3472.3173828125,1905.18664550781,"3472.3173828125_1905.18664550781",2095
3558.43505859375,1889.06689453125,"3558.43505859375_1889.06689453125",28009
3664.91040039062,1897.67138671875,"3664.91040039062_1897.67138671875",11458
3742.4111328125,1904.72766113281,"3742.4111328125_1904.72766113281",28267
3857.6806640625,1887.92211914062,"3857.6806640625_1887.92211914062",12403
3948.39868164062,1867.2138671875,"3948.39868164062_1867.2138671875",2263
4066.48217773438,1927.12023925781,"4066.48217773438_1927.12023925781",12334
4162.23583984375,1964.55505371094,"4162.23583984375_1964.55505371094",3980
4246.09228515625,1962.75817871094,"4246.09228515625_1962.75817871094",2104
4342.6962890625,2000.75537109375,"4342.6962890625_2000.75537109375",32717
4452.34912109375,2102.90307617188,"4452.34912109375_2102.90307617188",19916
4543.9677734375,2118.82373046875,"4543.9677734375_2118.82373046875",17243
4623.08642578125,2131.72827148438,"4623.08642578125_2131.72827148438",16047
4749.193359375,2191.10083007812,"4749.193359375_2191.10083007812",22718
4780.1826171875,2254.3173828125,"4780.1826171875_2254.3173828125",13463
4863.67919921875,2293.67553710938,"4863.67919921875_2293.67553710938",2145
